control_level,control_hz,reversal_period_s,lookahead_s,error_at_lookahead_mean_m,n_reversals_sampled
torque,10,2.0,0.1,0.44057541642231984,123
torque,10,1.0,0.1,0.39020630554369645,300
torque,10,0.5,0.1,0.390390122843927,600
torque,10,0.25,0.1,0.38382569156471597,600
torque,20,2.0,0.1,0.479683961983843,63
torque,20,1.0,0.1,0.4130605032916421,150
torque,20,0.5,0.1,0.4543862620292251,268
torque,20,0.25,0.1,0.41612765937263047,400
torque,50,2.0,0.1,0.47090405840788124,23
torque,50,1.0,0.1,0.44602216569241543,55
torque,50,0.5,0.1,0.4464634794535895,115
torque,50,0.25,0.1,0.44957888683592445,235
torque,100,2.0,0.1,0.4996587238341611,10
torque,100,1.0,0.1,0.5159258845585019,25
torque,100,0.5,0.1,0.5047781393327677,55
torque,100,0.25,0.1,0.5073721595471216,115
torque,200,2.0,0.1,0.6754236913338896,5
torque,200,1.0,0.1,0.7098088402238801,10
torque,200,0.5,0.1,0.6991512670835932,25
torque,200,0.25,0.1,0.6980321199020737,55
joint_position,10,2.0,0.1,0.769127269108961,150
joint_position,10,1.0,0.1,0.7553731009343279,300
joint_position,10,0.5,0.1,0.7547171653042882,600
joint_position,10,0.25,0.1,0.7581016259239927,600
joint_position,20,2.0,0.1,0.7706139543979651,75
joint_position,20,1.0,0.1,0.7567299913496811,150
joint_position,20,0.5,0.1,0.7545340906642809,300
joint_position,20,0.25,0.1,0.7547389706618628,400
joint_position,50,2.0,0.1,0.7641456535742731,25
joint_position,50,1.0,0.1,0.7525711186230936,55
joint_position,50,0.5,0.1,0.7510194441164233,115
joint_position,50,0.25,0.1,0.7514047945507538,235
joint_position,100,2.0,0.1,0.7724507350573433,10
joint_position,100,1.0,0.1,0.7525592834435467,25
joint_position,100,0.5,0.1,0.7511551929860941,55
joint_position,100,0.25,0.1,0.751814529555826,115
joint_position,200,2.0,0.1,0.742343532147881,5
joint_position,200,1.0,0.1,0.7562482007947163,10
joint_position,200,0.5,0.1,0.7529684858137347,25
joint_position,200,0.25,0.1,0.7541335663094644,55
pwm,10,2.0,0.1,0.44474251577816837,150
pwm,10,1.0,0.1,0.46508587949127256,241
pwm,10,0.5,0.1,0.3982008059278048,600
pwm,10,0.25,0.1,0.3949749562886568,600
pwm,20,2.0,0.1,0.5335628234850809,75
pwm,20,1.0,0.1,0.5143735874016668,150
pwm,20,0.5,0.1,0.5156682628078564,300
pwm,20,0.25,0.1,0.5179934732199437,400
pwm,50,2.0,0.1,0.4861213690694668,25
pwm,50,1.0,0.1,0.4350667423013633,55
pwm,50,0.5,0.1,0.43093281125746147,115
pwm,50,0.25,0.1,0.43565450903459596,235
pwm,100,2.0,0.1,0.4737534434443882,10
pwm,100,1.0,0.1,0.4391888543609253,25
pwm,100,0.5,0.1,0.43313949147107417,55
pwm,100,0.25,0.1,0.44178417608700066,115
pwm,200,2.0,0.1,0.5572561252760813,4
pwm,200,1.0,0.1,0.441461311816994,10
pwm,200,0.5,0.1,0.43726238142911705,25
pwm,200,0.25,0.1,0.46108201019094674,54
